id,name,address,district,lng,lat,type,facility_type,keyword
B000A80VTE,富力·摩根中心,太平街6-9号,西城区,116.388309,39.880610,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A88A2K,中海国际中心,平安里西大街28号(车公庄地铁站C东南口步行170米),西城区,116.357257,39.931640,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A12CCB,招商局大厦,建国路118号(国贸地铁站C口3号东口步行210米),朝阳区,116.463449,39.907472,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFFAHS4Y,致真大厦,知春路7号(西土城地铁站A西北口步行150米),海淀区,116.351564,39.977324,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A85NTU,银河SOHO,南竹杆胡同2号,东城区,116.433179,39.920627,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A509F4,中粮广场,建国门内大街8号(北京站地铁站B东北口步行350米),东城区,116.429908,39.907040,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFHORAUO,北京银泰中心A座,建国门外大街2号北京银泰中心,朝阳区,116.459198,39.907571,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A88DRK,金贸大厦,西直门外大街18号(西直门地铁站F1南口步行420米),西城区,116.349645,39.938906,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A4825C,阳光大厦(西直门外大街辅路),西直门外大街112号,西城区,116.346155,39.937907,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFF2QKMQ,城建大厦,北太平庄路18号(北太平庄桥东北角),海淀区,116.371080,39.968993,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFLN9HFL,阿里巴巴·北京朝阳科技园,来广营东路与东辛店路交叉口西460米,朝阳区,116.488911,40.024292,商务住宅;产业园区;产业园区,写字楼,写字楼
B0G30PIHSI,泰康集团大厦,景辉街16号院1号楼,朝阳区,116.467830,39.911298,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFFDMHHX,鸿懋商务大厦,红军营东路甲8号,朝阳区,116.437617,40.025818,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFI206UL,北京方恒中心,北三环西路27号(大钟寺地铁站E口步行110米),海淀区,116.340805,39.968286,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A84BMP,华源世纪商务楼,双清路88号,海淀区,116.334721,39.996320,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A7JHT3,国际财经中心,西三环北路87号(花园桥路北200米),海淀区,116.309139,39.935505,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A84SHP,CBD国际大厦,永安东里16号(永安里地铁站C南口步行410米),朝阳区,116.452008,39.904636,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A13EED,广源大厦,广源闸路5号,海淀区,116.311561,39.943290,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFFCKMP6,万通金融中心,阜成门外大街2号(阜成门地铁站D西南口步行60米),西城区,116.354261,39.922911,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A9ET8I,数码大厦A座,中关村南大街2号院-1(人民大学地铁站F口旁),海淀区,116.323102,39.966145,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000ABCMZ7,嘉悦广场,欣雅街与宏业路交汇处,大兴区,116.323649,39.786903,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFG8VGJS,世界侨商中心,北皇木厂街3号(通州北关地铁站A西北口步行310米),通州区,116.659357,39.920977,商务住宅;楼宇;商务写字楼,写字楼,写字楼
